Anton, Teodor
Loiacono, Leonardo
Vallejo Pons, Francisco
De La Villa Garcia, Jesus Maria
Sjodahl, Pontus
Tyomkin, Dimitri
Jansa, Vlastimil
Lasinskas, Povilas
O'Kelly de Galway, Alberic
Tishin, Petr
Serrano Pertinez, Miquel
Torre, Eugenio
Dorfman, Iossif
Ofstad, Per
Stohl, Igor
Todorcevic Antic, Miodrag
Dvirnyy, Danyyil
Bogorad, Michail
Gruenfeld, Ernst
Renet, Olivier
Sturua, Zurab
Hammer, Jon Ludvig
Eljanov, Pavel
Lorenzo De La Riva, Lazaro
Moskalenko, Viktor1
Pena Gomez, Manuel
Blackburne, Joseph
Giorgadze, Tamaz
Tseshkovsky, Vitaly
Hevia Alejano, Carlos Antonio
Golod, Vitali
Cheparinov, Ivan
Corrales Jimenez, Fidel
Barcza, Gedeon
Sjugirov, Sanan
Prats Rodriguez, Juan Bosco
Iljiushenok, Ilia
Hodgson, Julian M
Aleksandrov,A
Andreikin, Dmitry
Fedorov, Alexei
Lobron, Eric
Siebrecht, Sebastian
Baldauf, Marco
Socko, Monika
Gonzalez Perez,A
Karolyi, Tibor
Kraemer, Martin
Moehring, Guenther
Portisch, Ferenc
Chigorin, Mikhail
Shamkovich, Leonid
Bortnyk, Olexandr
Drasko, Milan
Nezar, Mustapha
Olszewski, Michal
Saatdjian, Thomas
Antolak, Julia
Vera,R
Bromann, Thorbjorn
Zude, Erik, Dr.
Sokolovsky, Yahli
Gopal G.N.
Yuferov, Sergey N
Chomet, Pascal
Donner, Jan-Hein
Christensen, Esben
Gonzalez De La Torre, Santiago
Shoker, Samy
Xiong, Jeffery
Kahn, Manfred
Van der Wiel, John T.H.
Summerscale, Aaron P
Romanishin, Oleg M
Svane, Rasmus
Kashlinskaya, Alina
Kostolansky, Sebastian Lukas
Garcia
Danielian, Elina
Adorjan, A.
Ramiro Ovejero, Juan Luis
Paulsen, Louis
Westerinen, Heikki M.J.
Levin, Felix
Shankland, Sam
Uhlmann, Wolfgang
Delchev, Aleksander
Fridman,D
Ardeleanu, Alin
Ljubicic, Filip
Deepan Chakkravarthy J.
Holm, Kristian Stuvik
Vocaturo, Daniele
Ostermeyer, Peter, Dr.
Rahal, Michael A
Drozdovskij, Yuri
Vladimirov, Yevgeniy
Kempinski, Robert
Fogarasi, Tibor
Mareco, Sandro
Skatchkov, Valery
Lenic, Luka
Webb, Simon
Mortensen, Erling
Tari,A
Vorobiov, Evgeny E.
Kogan, Arthur
Jordan, William
Sulava, Nenad
Nihal Sarin
Teterev, Vitaly
Iuldachev, Saidali
Adams, Michael
Spassky, Boris V.
Pachman, Ludek
Banikas, Hristos
Garcia Martin, Marta
Randazzo, Adrian
Shabalov, Alexander
Korobov,A
Hartoch, Robert G
Balogh, Csaba
Steinberg, Nitzan
Pillsbury, Harry
Gomez Dieguez, David
Popov,Val
Graf, Alexander
Campos Cayuelas, Adria
Ornstein, Axel
Hiermann, Dietmar
Reinaldo Castineira, Roi
Rossetto, Hector
Fronczek, Heinrich
Ju, Wenjun
Tringov, Georgi P
Ljubojevic, Ljubomir
Ballmann, Martin
Cordova, Emilio
Nei, Iivo
Slobodjan, Roman
McShane, Luke J
Zhou, Jianchao
Grigoryan,K2
Ermenkov, Evgenij
Gulko, Boris
Votava, Jan
Loos, Roland
Hou, Yifan
Kohlweyer, Bernd
Vernay, Clovis
Anic, Darko
Rabiega, Robert
Dias,P
Moe, Mogens
Piket, J.
Bromberger, Stefan
Eperjesi, Laszlo Dr.
Ayats Llobera, Gerard
Contin, Daniel
Georgiev, Vladimir
Solozhenkin, Evgeniy
Nguyen,P
Magerramov, Elmar
Tatai, Stefano
Granero Roca, Antonio
Mecking, Henrique
Schmaltz, Roland
Li Chao2
Moskalenko, Viktor
Delorme, Axel
Hoeffer, David
Pomar Salamanca, Arturo
Alekhine, Alexander
Bezgodova, Maria
Haag, Ervin
Mihailovs, Jurijs
Fernandez, Maria Florencia
Sargissian, Gabriel
Unzicker, Wolfgang
Zetocha, Claudiu Andrei
Perunovic, Milos
Vidonyak, Roman
Erdos, Viktor
Sasikiran, Krishnan
Danner, Georg
Mascaro March, Pedro
Panchanathan, Magesh Chandran
Forintos, Gyozo V
Lobzhanidze, Davit
Brunello, Sabino
Asrian, Karen
Ruck, Robert1
Stean, Michael F
Emms, John M
Kindermann, Stefan
